City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,56.82,50,0,23.02,clear sky
1,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,5.75,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,63.81,95,82,2.39,broken clouds
3,Tessalit,ML,20.1986,1.0114,90.05,14,6,9.26,clear sky
4,Kavaratti,IN,10.5669,72.642,80.83,80,97,15.73,overcast clouds
5,Olafsvik,IS,64.8945,-23.7142,42.08,70,54,8.03,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,14.59,96,99,9.04,overcast clouds
7,Busselton,AU,-33.65,115.3333,49.69,89,0,6.31,clear sky
8,Saskylakh,RU,71.9167,114.0833,3.02,99,96,3.62,overcast clouds
9,Ponta Do Sol,PT,32.6667,-17.1,76.01,76,11,9.22,few clouds
10,Tabuny,RU,52.7773,78.7896,41.94,65,84,8.81,broken clouds
11,Kahului,US,20.8947,-156.47,79.84,72,21,4.0,few clouds
12,Yulara,AU,-25.2406,130.9889,63.55,48,42,13.94,scattered clouds
13,Jamestown,US,42.097,-79.2353,47.17,37,86,3.0,overcast clouds
14,Baft,IR,29.234,56.6057,59.72,14,2,6.2,clear sky
15,Son La,VN,21.3167,103.9,59.47,85,32,0.47,scattered clouds
16,Hobart,AU,-42.8794,147.3294,44.06,91,44,1.14,scattered clouds
17,Seinajoki,FI,62.7945,22.8282,41.58,94,20,5.75,few clouds
18,Avarua,CK,-21.2078,-159.775,75.25,73,40,5.75,scattered clouds
19,Butaritari,KI,3.0707,172.7902,79.95,81,92,15.39,light rain
20,Cayenne,GF,4.9333,-52.3333,91.44,43,0,10.36,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,61.47,93,70,3.71,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,67.26,71,0,13.8,clear sky
23,Fuerte Olimpo,PY,-21.0415,-57.8738,89.62,49,70,6.55,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,65.17,84,35,12.03,scattered clouds
25,Rikitea,PF,-23.1203,-134.9692,69.17,61,44,18.05,scattered clouds
26,Burnie,AU,-41.0667,145.9167,48.94,85,83,5.21,broken clouds
27,Orbetello,IT,42.4408,11.2196,67.84,83,0,3.31,clear sky
28,Upernavik,GL,72.7868,-56.1549,36.81,96,100,17.83,light rain
29,Poum,NC,-20.2333,164.0167,75.0,77,27,10.85,scattered clouds
30,Albany,US,42.6001,-73.9662,53.28,92,99,3.0,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,43.72,74,50,2.3,scattered clouds
32,Asau,RO,46.4333,26.4,49.28,66,3,2.91,clear sky
33,Aklavik,CA,68.2191,-135.0107,26.6,93,75,2.3,broken clouds
34,Vila Velha,BR,-20.3297,-40.2925,84.15,74,20,15.01,few clouds
35,Ribeira Grande,PT,38.5167,-28.7,63.0,55,40,23.02,scattered clouds
36,Chilca,PE,-12.5211,-76.7372,63.99,78,84,8.19,broken clouds
37,Mataura,NZ,-46.1927,168.8643,41.36,99,97,5.46,light rain
38,Vaini,TO,-21.2,-175.2,75.36,94,20,4.61,few clouds
39,Barrow,US,71.2906,-156.7887,26.38,85,100,16.33,overcast clouds
40,Cabo San Lucas,MX,22.8909,-109.9124,85.6,61,18,2.21,few clouds
41,Port Hedland,AU,-20.3167,118.5667,66.25,77,3,6.91,clear sky
42,Lagoa,PT,39.05,-27.9833,61.0,63,82,35.01,light rain
43,Punta Arenas,CL,-53.15,-70.9167,57.11,48,100,18.97,overcast clouds
44,Lunino,RU,53.5918,45.2271,46.9,66,100,15.01,moderate rain
45,Bairiki,KI,1.3292,172.9752,80.65,79,94,17.94,light rain
46,Plettenberg Bay,ZA,-34.0527,23.3716,63.3,85,29,6.04,scattered clouds
47,Kapaa,US,22.0752,-159.319,74.19,91,84,6.02,light rain
48,Ostrovnoy,RU,68.0531,39.5131,45.77,98,100,13.62,overcast clouds
49,Ancud,CL,-41.8697,-73.8203,78.22,62,6,3.2,clear sky
50,Torbay,CA,47.6666,-52.7314,61.39,97,100,29.93,light rain
51,Westport,US,41.1415,-73.3579,67.19,70,100,10.0,overcast clouds
52,Dzerzhinsk,RU,56.2389,43.4631,44.42,93,100,11.18,overcast clouds
53,Lompoc,US,34.6391,-120.4579,67.84,80,40,5.75,mist
54,Oakdale,US,44.963,-92.9649,37.42,50,75,17.27,broken clouds
55,Saint George,US,37.1041,-113.5841,73.44,32,10,1.01,clear sky
56,West Wendover,US,40.7391,-114.0733,64.11,20,0,1.66,clear sky
57,Mainit,PH,9.535,125.5231,79.38,85,100,11.97,moderate rain
58,Bluff,NZ,-46.6,168.3333,45.9,72,100,15.32,overcast clouds
59,Victoria,HK,22.2855,114.1577,80.65,63,100,24.32,overcast clouds
60,Bowen,AU,-20.0167,148.2333,75.94,79,79,12.91,broken clouds
61,Chak Jhumra,PK,31.5678,73.1835,73.96,24,0,7.49,clear sky
62,Nacozari,MX,25.3366,-108.2574,87.12,50,0,3.47,clear sky
63,Arraial Do Cabo,BR,-22.9661,-42.0278,73.47,85,46,17.18,scattered clouds
64,Yellowknife,CA,62.456,-114.3525,36.12,87,20,14.97,few clouds
65,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,27,0,16.11,clear sky
66,Namatanai,PG,-3.6667,152.4333,78.84,84,99,8.55,light rain
67,Constitucion,CL,-35.3333,-72.4167,58.42,68,64,6.55,broken clouds
68,Massaguet,TD,12.4755,15.4365,92.23,16,1,8.77,clear sky
69,Bol,TD,13.4586,14.7147,86.04,46,27,5.44,scattered clouds
70,Carnarvon,AU,-24.8667,113.6333,64.53,65,0,21.52,clear sky
71,Dubbo,AU,-32.25,148.6167,55.53,82,89,14.97,overcast clouds
72,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,29,10.0,scattered clouds
73,Shelburne,CA,44.0787,-80.2041,46.9,84,83,13.69,broken clouds
74,Tsumeb,NA,-19.2333,17.7167,72.73,45,45,2.51,scattered clouds
75,Husavik,IS,66.0449,-17.3389,34.32,84,84,6.87,broken clouds
76,Kaitangata,NZ,-46.2817,169.8464,41.99,96,95,9.44,overcast clouds
77,Dikson,RU,73.5069,80.5464,31.75,88,77,17.65,broken clouds
78,Qaanaaq,GL,77.484,-69.3632,5.56,84,99,4.23,overcast clouds
79,Moron,AR,-34.6534,-58.6198,70.97,64,52,14.72,broken clouds
80,Tasiilaq,GL,65.6145,-37.6368,33.96,67,59,2.68,broken clouds
81,Sao Joao Da Ponte,BR,-15.9292,-44.0078,92.14,19,0,5.95,clear sky
82,Nikolskoye,RU,59.7035,30.7861,49.91,86,61,10.65,broken clouds
83,Pevek,RU,69.7008,170.3133,3.07,97,86,4.45,overcast clouds
84,Northam,GB,51.0333,-4.2167,55.26,87,64,3.44,broken clouds
85,Abu Samrah,SY,35.3029,37.1841,74.03,49,52,8.84,broken clouds
86,Hithadhoo,MV,-0.6,73.0833,81.68,70,96,7.07,overcast clouds
87,Acarau,BR,-2.8856,-40.12,85.12,63,81,22.12,broken clouds
88,Kirakira,SB,-10.4544,161.9205,79.66,82,67,5.86,broken clouds
89,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.03,71,71,11.23,broken clouds
90,Kruisfontein,ZA,-34.0033,24.7314,64.89,81,20,7.34,few clouds
91,Saldanha,ZA,-33.0117,17.9442,61.95,92,88,11.45,overcast clouds
92,Castro,BR,-24.7911,-50.0119,73.08,67,65,2.01,broken clouds
93,East London,ZA,-33.0153,27.9116,68.88,88,63,8.88,broken clouds
94,Zyryanka,RU,65.75,150.85,1.63,95,98,4.97,overcast clouds
95,Jingdezhen,CN,29.2947,117.2079,53.24,63,0,5.06,clear sky
96,Banda Aceh,ID,5.5577,95.3222,79.09,77,95,13.2,overcast clouds
97,Nara,JP,34.6851,135.8049,65.5,88,95,2.64,overcast clouds
98,Dudinka,RU,69.4058,86.1778,31.12,99,100,5.57,light snow
99,Darhan,MN,49.4867,105.9228,31.62,36,1,6.04,clear sky
100,Port Lincoln,AU,-34.7333,135.8667,60.33,77,100,13.0,overcast clouds
101,Narsaq,GL,60.9167,-46.05,35.82,73,99,3.76,overcast clouds
102,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,91,75,6.91,broken clouds
103,Verkhoyansk,RU,67.5447,133.385,11.25,97,99,2.37,light snow
104,Katsuura,JP,35.1333,140.3,70.95,90,100,12.48,light rain
105,Namibe,AO,-15.1961,12.1522,68.38,87,36,12.33,scattered clouds
106,Zhangjiakou,CN,40.81,114.8794,35.85,28,0,2.91,clear sky
107,Kwinana,AU,-32.25,115.7667,55.81,82,0,9.51,clear sky
108,Bogota,CO,4.6097,-74.0817,60.01,81,74,1.68,broken clouds
109,Chicama,PE,-7.8447,-79.1469,72.82,58,65,11.25,broken clouds
110,Cangas,ES,42.2641,-8.7846,69.15,89,75,6.91,broken clouds
111,Tahta,EG,26.7693,31.5021,78.71,38,0,8.79,clear sky
112,Ghioroc,RO,46.15,21.5833,55.24,60,9,3.29,light rain
113,Norman Wells,CA,65.282,-126.8329,39.29,85,97,5.91,overcast clouds
114,Half Moon Bay,US,37.4636,-122.4286,68.79,74,0,8.05,clear sky
115,Lebu,CL,-37.6167,-73.65,57.31,83,37,7.54,scattered clouds
116,Tuatapere,NZ,-46.1333,167.6833,42.76,90,99,7.78,overcast clouds
117,Raudeberg,NO,61.9875,5.1352,48.87,34,100,9.84,light rain
118,Mar Del Plata,AR,-38.0023,-57.5575,61.95,73,7,13.0,clear sky
119,Gat,IL,31.61,34.7642,74.08,65,0,3.69,clear sky
120,Altay,CN,47.8667,88.1167,48.63,67,100,6.71,overcast clouds
121,Zhigansk,RU,66.7697,123.3711,4.05,99,71,2.04,broken clouds
122,Kodiak,US,57.79,-152.4072,42.31,87,100,0.0,overcast clouds
123,Tautira,PF,-17.7333,-149.15,76.5,81,67,20.42,light rain
124,Coihaique,CL,-45.5752,-72.0662,71.26,43,0,7.4,clear sky
125,Ahipara,NZ,-35.1667,173.1667,57.38,88,100,10.89,overcast clouds
126,Suraabad,AZ,40.8192,49.4687,63.68,77,100,10.33,overcast clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,69.55,81,98,8.01,overcast clouds
128,Dakar,SN,14.6937,-17.4441,88.68,70,45,10.76,scattered clouds
129,Pangkalanbuun,ID,-2.6833,111.6167,74.88,96,100,2.28,light rain
130,Emba,KZ,48.8264,58.1442,43.38,56,7,6.31,clear sky
131,Hay River,CA,60.8156,-115.7999,50.58,57,1,10.04,clear sky
132,La Ronge,CA,55.1001,-105.2842,42.55,33,1,13.2,clear sky
133,Irituia,BR,-1.7711,-47.4381,85.86,61,85,2.73,overcast clouds
134,Coquimbo,CL,-29.9533,-71.3436,60.93,71,11,10.98,few clouds
135,Zaoyang,CN,32.1272,112.7542,55.89,41,8,4.36,clear sky
136,Ures,MX,29.4333,-110.4,80.28,37,0,3.76,clear sky
137,Kondinskoye,RU,59.6481,67.41,40.6,85,100,5.68,overcast clouds
138,Lalmohan,BD,22.3384,90.7419,77.54,72,91,7.92,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,2.3,broken clouds
