City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Gambier,-37.8333,140.7667,51.1,99,100,3.83,AU,2022-10-12 15:46:09
1,Bengkulu,-3.8004,102.2655,76.39,85,100,3.98,ID,2022-10-12 15:46:10
2,Rikitea,-23.1203,-134.9692,68.47,67,53,17.22,PF,2022-10-12 15:46:10
3,Khatanga,71.9667,102.5,29.7,95,100,5.23,RU,2022-10-12 15:46:10
4,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,100,100,8.95,RU,2022-10-12 15:46:11
5,Sistranda,63.7256,8.834,48.16,63,100,5.41,NO,2022-10-12 15:46:11
6,Kapaa,22.0752,-159.319,76.98,94,0,3.44,US,2022-10-12 15:46:12
7,Mataura,-46.1927,168.8643,38.43,89,55,2.39,NZ,2022-10-12 15:46:12
8,Fram,-26.9833,-55.8833,68.59,52,21,2.44,PY,2022-10-12 15:46:13
9,Wahiawa,21.5028,-158.0236,73.72,90,75,0.0,US,2022-10-12 15:42:27
10,Esperance,-33.8667,121.9,54.1,69,100,19.6,AU,2022-10-12 15:46:13
11,Souillac,-20.5167,57.5167,71.98,73,75,11.5,MU,2022-10-12 15:46:14
12,Mitsamiouli,-11.3847,43.2844,79.09,69,20,4.61,KM,2022-10-12 15:46:14
13,Saint-Philippe,-21.3585,55.7679,72.99,75,24,9.93,RE,2022-10-12 15:46:14
14,Yeppoon,-23.1333,150.7333,64.18,81,17,15.39,AU,2022-10-12 15:46:15
15,Qui Nhon,13.7667,109.2333,77.95,82,98,16.51,VN,2022-10-12 15:46:15
16,Arraial Do Cabo,-22.9661,-42.0278,78.66,73,40,10.36,BR,2022-10-12 15:46:16
17,Dikson,73.5069,80.5464,29.43,70,100,9.53,RU,2022-10-12 15:46:16
18,Shwebo,22.5667,95.7,77.67,81,3,4.54,MM,2022-10-12 15:46:17
19,New Norfolk,-42.7826,147.0587,58.5,71,100,3.0,AU,2022-10-12 15:46:17
20,Cabedelo,-6.9811,-34.8339,86.67,65,66,19.22,BR,2022-10-12 15:44:30
21,Zhigansk,66.7697,123.3711,25.14,94,99,16.6,RU,2022-10-12 15:46:17
22,Natchez,31.5604,-91.4032,80.04,76,100,11.5,US,2022-10-12 15:46:18
23,Mar Del Plata,-38.0023,-57.5575,72.88,47,0,17.27,AR,2022-10-12 15:46:18
24,Henties Bay,-22.116,14.2845,64.06,77,15,12.08,NA,2022-10-12 15:46:19
25,Kloulklubed,7.0419,134.2556,77.5,82,100,10.89,PW,2022-10-12 15:46:19
26,Punta Arenas,-53.15,-70.9167,39.31,75,20,40.29,CL,2022-10-12 15:44:59
27,Hokitika,-42.7167,170.9667,47.61,87,90,3.02,NZ,2022-10-12 15:46:19
28,Qaanaaq,77.484,-69.3632,8.1,65,0,7.76,GL,2022-10-12 15:46:20
29,Thompson,55.7435,-97.8558,33.96,93,100,13.8,CA,2022-10-12 15:45:55
30,Kavieng,-2.5744,150.7967,81.5,74,100,3.04,PG,2022-10-12 15:46:20
31,Moerai,-22.4333,-151.3333,70.3,67,100,17.6,PF,2022-10-12 15:46:20
32,Puerto Leguizamo,-0.1934,-74.7819,86.97,50,99,4.14,CO,2022-10-12 15:46:21
33,Butaritari,3.0707,172.7902,81.97,77,78,20.02,KI,2022-10-12 15:46:21
34,Avarua,-21.2078,-159.775,75.25,94,75,13.8,CK,2022-10-12 15:46:22
35,Salalah,17.0151,54.0924,80.69,83,40,4.61,OM,2022-10-12 15:46:06
36,Albany,42.6001,-73.9662,66.94,64,74,3.0,US,2022-10-12 15:45:37
37,Nome,64.5011,-165.4064,30.27,81,100,6.91,US,2022-10-12 15:46:23
38,Atuona,-9.8,-139.0333,76.68,81,34,17.36,PF,2022-10-12 15:46:23
39,Ushuaia,-54.8,-68.3,37.06,93,100,20.71,AR,2022-10-12 15:46:23
40,Biltine,14.5333,20.9167,95.79,16,15,9.19,TD,2022-10-12 15:46:24
41,Lagoa,39.05,-27.9833,70.66,80,1,7.14,PT,2022-10-12 15:46:24
42,Bluff,-46.6,168.3333,44.71,76,90,4.32,NZ,2022-10-12 15:46:25
43,Inhambane,-23.865,35.3833,80.58,83,0,7.0,MZ,2022-10-12 15:46:25
44,Oktyabrskoye,43.0645,44.7417,50.14,66,40,2.24,RU,2022-10-12 15:46:25
45,Srednekolymsk,67.45,153.6833,7.61,92,100,3.94,RU,2022-10-12 15:46:26
46,Tuktoyaktuk,69.4541,-133.0374,28.4,80,75,10.36,CA,2022-10-12 15:46:26
